id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
1107,Establecimiento educativo LICEO Nº 11 CORNELIO SAAVEDRA DE 15,Establecimiento Educativo,LICEO Nº 11 CORNELIO SAAVEDRA DE 15,200726.0,200986.0,00,Estatal,Nivel secundario común,Liceos,Dirección de Educación Media,Triunvirato Av. 4992,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (17650.327792965363 76287.3672597372)
1108,Establecimiento educativo ESC. DE COM. Nº 28 ABRAHAM LINCOLN DE 15,Establecimiento Educativo,ESC. DE COM. Nº 28 ABRAHAM LINCOLN DE 15,200727.0,201446.0,00,Estatal,Nivel secundario común,Escuelas de Comercio,Dirección de Educación Media,Valdenegro 3523,Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17543.81124964586 77471.36415626721)
1109,Establecimiento educativo ESC. DE COM. Nº 15 DRA CECILIA GRIERSON DE 15,Establecimiento Educativo,ESC. DE COM. Nº 15 DRA CECILIA GRIERSON DE 15,200727.0,201553.0,00,Estatal,Nivel secundario común,Escuelas de Comercio,Dirección de Educación Media,Valdenegro 3523,Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17543.81124964586 77471.36415626721)
1110,Establecimiento educativo ESC.DEEDUC.MEDIANº05 MONS.ENRIQUE ANGELELLI DE 15,Establecimiento Educativo,ESC.DEEDUC.MEDIANº05 MONS.ENRIQUE ANGELELLI DE 15,200728.0,200825.0,00,Estatal,Nivel secundario común,Escuelas de Educación Media,Dirección de Educación Media,Tronador 4134,Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17843.407570638472 78480.25987479855)
1111,"Establecimiento educativo ESC. PARA NIÑOS, NIÑAS Y JOVENES CON PLURIDISCAPACIDAD MOTORA Nº 11 DR. AQUILES GAREISO DE 15",Establecimiento Educativo,"ESC. PARA NIÑOS, NIÑAS Y JOVENES CON PLURIDISCAPACIDAD MOTORA Nº 11 DR. AQUILES GAREISO DE 15",200729.0,201012.0,00,Estatal,Integración de modalidad especial | Nivel inicial especial - Jardín de infantes | Nivel primario especial,Escuelas de Educación Especial,Dirección de Educación Especial,Quesada 4357,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (18219.329513727876 77202.3018672265)
1112,Establecimiento educativo JII Nº 04 ARIEL BUFANO DE 15,Establecimiento Educativo,JII Nº 04 ARIEL BUFANO DE 15,200730.0,201295.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Blanco Encalada 4863,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (18075.29276526226 76109.35743969803)
1113,Establecimiento educativo CENTRO CORREA,Establecimiento Educativo,CENTRO CORREA,200732.0,203203.0,20,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Correa 3930,Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17790.052426707753 78734.25085176551)
1114,Establecimiento educativo ESCUELA DE TEATRO NINI MARSHALL,Establecimiento Educativo,ESCUELA DE TEATRO NINI MARSHALL,200736.0,202875.0,00,Estatal,Ciclos de enseñanza artística | Nivel secundario común,Escuela de Teatro,Dirección de Educación Artística,Oliden 1245 - Zelada 6240,Mataderos,9,Mapa Escolar - Ministerio de Educación,POINT (15936.334569886789 67602.37252904664)
1115,Establecimiento educativo JARDIN MATERNAL Nº 06 DE 13,Establecimiento Educativo,JARDIN MATERNAL Nº 06 DE 13,200736.0,202948.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines Maternales (JM),Dirección de Educación Inicial,Oliden 1245 - Zelada 6240,Mataderos,9,Mapa Escolar - Ministerio de Educación,POINT (15936.334569886789 67602.37252904664)
1116,Establecimiento educativo DR. DELFIN GALLO,Establecimiento Educativo,DR. DELFIN GALLO,200740.0,201030.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Fernandez De Enciso 4451,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15592.355876144855 73795.56669177146)
1117,Establecimiento educativo DR DELFIN GALLO,Establecimiento Educativo,DR DELFIN GALLO,200740.0,201073.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Fernandez De Enciso 4451,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15592.355876144855 73795.56669177146)
1118,Establecimiento educativo JIC Nº 03 MAFALDA DE 16,Establecimiento Educativo,JIC Nº 03 MAFALDA DE 16,200740.0,202205.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Fernandez De Enciso 4451,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15592.355876144855 73795.56669177146)
1119,Establecimiento educativo JIN B JUANA AZURDUY DE 16 ( Nº 2 ),Establecimiento Educativo,JIN B JUANA AZURDUY DE 16 ( Nº 2 ),200741.0,201369.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,San Martin Av. 6387,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (16216.321027262267 73926.53447758754)
1120,Establecimiento educativo REPUBLICA DE PANAMA,Establecimiento Educativo,REPUBLICA DE PANAMA,200741.0,201401.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,San Martin Av. 6387,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (16216.321027262267 73926.53447758754)
1121,Establecimiento educativo CENTRO EDUC.COMPL. DE IDIOMAS EXTRANJ.Nº16 DE 16,Establecimiento Educativo,CENTRO EDUC.COMPL. DE IDIOMAS EXTRANJ.Nº16 DE 16,200741.0,202169.0,00,Estatal,Servicios complementarios/alternativos,Centros Educativos Complementarios de Idiomas Extranjeros,Dirección de Educación Primaria,San Martin Av. 6387,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (16216.321027262267 73926.53447758754)
1122,Establecimiento educativo GRECIA,Establecimiento Educativo,GRECIA,200742.0,200991.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Condarco 3984,Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (17069.282999543924 74331.48025798248)
1123,Establecimiento educativo JII Nº 02 AIME PAINE DE 16,Establecimiento Educativo,JII Nº 02 AIME PAINE DE 16,200742.0,201400.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Condarco 3984,Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (17069.282999543924 74331.48025798248)
1124,Establecimiento educativo CNEL MAYOR IGNACIO ALVAREZ THOMAS,Establecimiento Educativo,CNEL MAYOR IGNACIO ALVAREZ THOMAS,200743.0,200593.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Asuncion 2783 - Asuncion 2787 - Terrada 3983,Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16984.285757915844 74267.48681035537)
1125,Establecimiento educativo JIN B JUANA AZURDUY DE 16 (Nº 4),Establecimiento Educativo,JIN B JUANA AZURDUY DE 16 (Nº 4),200743.0,201369.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Asuncion 2783 - Asuncion 2787 - Terrada 3983,Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16984.285757915844 74267.48681035537)
1126,Establecimiento educativo CENTRO EDUC. COMPLEM. DE NATACION N°4,Establecimiento Educativo,CENTRO EDUC. COMPLEM. DE NATACION N°4,200743.0,203102.0,00,Estatal,Servicios complementarios/alternativos,Centros Educativos Complementarios de Natación,Dirección de Educación Primaria,Asuncion 2783 - Asuncion 2787 - Terrada 3983,Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16984.285757915844 74267.48681035537)
1127,Establecimiento educativo GABRIELA MISTRAL,Establecimiento Educativo,GABRIELA MISTRAL,200744.0,200447.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Cabezon, Jose Leon 3446",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15508.396757768569 74638.53206678898)
1128,Establecimiento educativo GABRIELA MISTRAL,Establecimiento Educativo,GABRIELA MISTRAL,200744.0,201071.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,"Cabezon, Jose Leon 3446",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15508.396757768569 74638.53206678898)
1129,Establecimiento educativo DR LUIS PASTEUR,Establecimiento Educativo,DR LUIS PASTEUR,200745.0,200896.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Nahuel Huapi 5740,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16984.35738489534 75969.40969354741)
1130,Establecimiento educativo JIN C DE 16 (ESC. PRIM. N°6 DE 16),Establecimiento Educativo,JIN C DE 16 (ESC. PRIM. N°6 DE 16),200745.0,201692.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Nahuel Huapi 5740,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16984.35738489534 75969.40969354741)
1131,Establecimiento educativo GRAL MAXIMO DE ZAMUDIO,Establecimiento Educativo,GRAL MAXIMO DE ZAMUDIO,200746.0,200351.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Cubas, Jose 4440",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (14864.377451835402 73189.62484302356)
1132,Establecimiento educativo SAN JUAN BOSCO,Establecimiento Educativo,SAN JUAN BOSCO,200747.0,200618.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Mercedes 4966,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (14872.410071703905 73977.58874827645)
1133,Establecimiento educativo JIN A DE 16 (ESC. PRIM. N°8 DE 16),Establecimiento Educativo,JIN A DE 16 (ESC. PRIM. N°8 DE 16),200747.0,201587.0,02,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Mercedes 4966,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (14872.410071703905 73977.58874827645)
1134,Establecimiento educativo IRLANDA,Establecimiento Educativo,IRLANDA,200748.0,200341.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Ibera 5734,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16832.387591991952 76453.39418560344)
1135,Establecimiento educativo JIN C DE 16 (ESC. PRIM. N°9 DE 16),Establecimiento Educativo,JIN C DE 16 (ESC. PRIM. N°9 DE 16),200748.0,201692.0,04,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Ibera 5734,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16832.387591991952 76453.39418560344)
1136,Establecimiento educativo CONGRESO DE TUCUMAN,Establecimiento Educativo,CONGRESO DE TUCUMAN,200749.0,200615.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Moran, Pedro 2889 - Moran, Pedro 2899",Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16987.277294105996 74073.49500738952)
1137,Establecimiento educativo JIN B JUANA AZURDUY DE 16 ( Nº 11 ),Establecimiento Educativo,JIN B JUANA AZURDUY DE 16 ( Nº 11 ),200749.0,201369.0,02,Estatal,Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Moran, Pedro 2889 - Moran, Pedro 2899",Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16987.277294105996 74073.49500738952)
1138,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO INFANTIL N°03,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO INFANTIL N°03,200749.0,203027.0,04,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Moran, Pedro 2889 - Moran, Pedro 2899",Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16987.277294105996 74073.49500738952)
1139,"Establecimiento educativo ESEA DANZA Nº1 RAMICONE ""CURSO VOC. FOLKLORE N° 24""",Establecimiento Educativo,"ESEA DANZA Nº1 RAMICONE ""CURSO VOC. FOLKLORE N° 24""",200749.0,203028.0,20,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Moran, Pedro 2889 - Moran, Pedro 2899",Agronomia,15,Mapa Escolar - Ministerio de Educación,POINT (16987.277294105996 74073.49500738952)
1140,Establecimiento educativo CARLOS GARDEL,Establecimiento Educativo,CARLOS GARDEL,200750.0,200497.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Larralde, Crisologo Av. 5934",Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16373.437866791464 76942.39139364194)
1141,Establecimiento educativo JIN D DE 16 (ESC. PRIM. Nº 12 DE 16),Establecimiento Educativo,JIN D DE 16 (ESC. PRIM. Nº 12 DE 16),200750.0,201597.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Larralde, Crisologo Av. 5934",Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16373.437866791464 76942.39139364194)
1142,Establecimiento educativo HILARION MARIA MORENO,Establecimiento Educativo,HILARION MARIA MORENO,200751.0,201185.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Artigas, Jose Gervasio, Gral. 5645",Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16244.402898714992 75914.44330030735)
1143,Establecimiento educativo JIN D DE 16 (ESC. PRIM. Nº 13 DE 16),Establecimiento Educativo,JIN D DE 16 (ESC. PRIM. Nº 13 DE 16),200751.0,201597.0,02,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Artigas, Jose Gervasio, Gral. 5645",Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16244.402898714992 75914.44330030735)
1144,Establecimiento educativo LEOPOLDO LUGONES,Establecimiento Educativo,LEOPOLDO LUGONES,200752.0,200994.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Ceretti 2035 - Juramento 5775,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (17585.288439047166 75253.41680012661)
1145,Establecimiento educativo JIC Nº 04 DR. FLORENCIO ESCARDO DE 16,Establecimiento Educativo,JIC Nº 04 DR. FLORENCIO ESCARDO DE 16,200752.0,202206.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Ceretti 2035 - Juramento 5775,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (17585.288439047166 75253.41680012661)
1146,Establecimiento educativo REPUBLICA BOLIVARIANA DE VENEZUELA,Establecimiento Educativo,REPUBLICA BOLIVARIANA DE VENEZUELA,200753.0,201539.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Obispo San Alberto 3370,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15540.400826807429 74784.52406805444)
1147,Establecimiento educativo JIN A DE 16 (ESC. PRIM. N°15 DE 16),Establecimiento Educativo,JIN A DE 16 (ESC. PRIM. N°15 DE 16),200753.0,201587.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Obispo San Alberto 3370,Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15540.400826807429 74784.52406805444)
1148,Establecimiento educativo JIN B JUANA AZURDUY DE 16 ( Nº 16),Establecimiento Educativo,JIN B JUANA AZURDUY DE 16 ( Nº 16),200754.0,201369.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Mistral, Gabriela 3376",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15943.35199441413 74242.53166743631)
1149,Establecimiento educativo DR RICARDO ROJAS,Establecimiento Educativo,DR RICARDO ROJAS,200754.0,201521.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Mistral, Gabriela 3376",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15943.35199441413 74242.53166743631)
1150,Establecimiento educativo CENS N° 87 DE 16,Establecimiento Educativo,CENS N° 87 DE 16,200754.0,202433.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Mistral, Gabriela 3376",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15943.35199441413 74242.53166743631)
1151,Establecimiento educativo GREGORIA MATORRAS Y DEL SER DE SAN MARTIN,Establecimiento Educativo,GREGORIA MATORRAS Y DEL SER DE SAN MARTIN,200755.0,200463.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Vallejos 2555,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16920.31588666323 74883.46160980412)
1152,Establecimiento educativo JIN C DE 16 (ESC. PRIM. N°17 DE 16),Establecimiento Educativo,JIN C DE 16 (ESC. PRIM. N°17 DE 16),200755.0,201692.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Vallejos 2555,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16920.31588666323 74883.46160980412)
1153,Establecimiento educativo HELENA LARROQUE DE ROFFO,Establecimiento Educativo,HELENA LARROQUE DE ROFFO,200756.0,200619.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Medeyros 3555,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16020.448641753845 76656.41917769972)
1154,Establecimiento educativo JIN D DE 16 (ESC.PRIM.Nº18 DE 16),Establecimiento Educativo,JIN D DE 16 (ESC.PRIM.Nº18 DE 16),200756.0,201597.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Medeyros 3555,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16020.448641753845 76656.41917769972)
1155,Establecimiento educativo CENS N° 83 DE 16,Establecimiento Educativo,CENS N° 83 DE 16,200756.0,202406.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Medeyros 3555,Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (16020.448641753845 76656.41917769972)
1156,Establecimiento educativo DR TEODORO SANCHEZ DE BUSTAMANTE,Establecimiento Educativo,DR TEODORO SANCHEZ DE BUSTAMANTE,200757.0,200984.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Gavilan 4246,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (17431.28487002906 74931.43788159058)
1157,Establecimiento educativo REPUBLICA DE NICARAGUA,Establecimiento Educativo,REPUBLICA DE NICARAGUA,200758.0,200363.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Bazurco 2551,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16324.387327282264 75667.45116729786)
1158,Establecimiento educativo JIN D DE 16 (ESC. PRIM. Nº 22 DE 16),Establecimiento Educativo,JIN D DE 16 (ESC. PRIM. Nº 22 DE 16),200758.0,201597.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Bazurco 2551,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16324.387327282264 75667.45116729786)
1159,Establecimiento educativo BELISARIO ROLDAN,Establecimiento Educativo,BELISARIO ROLDAN,200759.0,200349.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Franco 2390,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16572.37223361325 75689.43974872676)
1160,Establecimiento educativo JIN A DE 16 (ESC. PRIM. N°23 DE 16),Establecimiento Educativo,JIN A DE 16 (ESC. PRIM. N°23 DE 16),200759.0,201587.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Franco 2390,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16572.37223361325 75689.43974872676)
1161,Establecimiento educativo EJERCITO ARGENTINO,Establecimiento Educativo,EJERCITO ARGENTINO,200760.0,200599.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Nazca 5168,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16108.380244843953 75166.4828940595)
1162,Establecimiento educativo JII Nº 01 PROFESOR LUIS SIXTO CLARA DE 16,Establecimiento Educativo,JII Nº 01 PROFESOR LUIS SIXTO CLARA DE 16,200761.0,200992.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Cuenca 5049,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (15834.383806128266 74830.50970302925)
1163,Establecimiento educativo ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,Establecimiento Educativo,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,200762.0,200350.0,00,Estatal,Nivel secundario común,Escuelas de Educación Media,Dirección de Educación Media,Argerich 5651,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (15699.421514638314 75520.48414108537)
1164,"Establecimiento educativo ESC. PARA NIÑOS,NIÑAS, JOVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL Nº 21 ROSARIO VERA PEÑALOZA DE 16",Establecimiento Educativo,"ESC. PARA NIÑOS,NIÑAS, JOVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL Nº 21 ROSARIO VERA PEÑALOZA DE 16",200763.0,200993.0,00,Estatal,Cursos y talleres de la escuela especial | Integración de modalidad especial | Nivel primario especial,Escuelas de Educación Especial,Dirección de Educación Especial,Obispo San Alberto 2379,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16628.366382308875 75635.43976244061)
1165,Establecimiento educativo CENS Nº 66 VETERANOS DE GUERRA DE MALVINAS DE 16,Establecimiento Educativo,CENS Nº 66 VETERANOS DE GUERRA DE MALVINAS DE 16,200764.0,200070.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Cubas, Jose 4182 - Lincoln Av. 4325",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15202.363261789342 73371.60230179333)
1166,"Establecimiento educativo ESC. BILINGÜE PARA NIÑOS,NIÑAS, JOVENES Y ADULTOS CON DISCAPACIDAD AUDITIVA Y FORMACIÓN Nº 28 BARTOLOME AYROLO DE 16",Establecimiento Educativo,"ESC. BILINGÜE PARA NIÑOS,NIÑAS, JOVENES Y ADULTOS CON DISCAPACIDAD AUDITIVA Y FORMACIÓN Nº 28 BARTOLOME AYROLO DE 16",200764.0,200851.0,00,Estatal,Cursos y talleres de la escuela especial | Integración de modalidad especial | Nivel inicial especial - Jardín de infantes | Nivel inicial especial - Jardín maternal | Nivel primario especial,Escuelas de Educación Especial,Dirección de Educación Especial,"Cubas, Jose 4182 - Lincoln Av. 4325",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15202.363261789342 73371.60230179333)
1167,"Establecimiento educativo ESEA DANZA Nº 1 RAMICONE""CURSO VOC. FOLKLORE N° 15""",Establecimiento Educativo,"ESEA DANZA Nº 1 RAMICONE""CURSO VOC. FOLKLORE N° 15""",200764.0,203028.0,12,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Cubas, Jose 4182 - Lincoln Av. 4325",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (15202.363261789342 73371.60230179333)
1168,Establecimiento educativo ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 16 GRAL. ING. MOSCONI DE 16,Establecimiento Educativo,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 16 GRAL. ING. MOSCONI DE 16,200765.0,201582.0,00,Estatal,Integración de modalidad especial | Nivel primario especial,Escuelas Integrales Interdisciplinarias,Dirección de Educación Especial,Mosconi General Av. 2641,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (16674.335805610306 74979.46756454169)
1169,Establecimiento educativo ESC. DE EDUC. MEDIA Nº 02 AGUSTIN TOSCO DE 16,Establecimiento Educativo,ESC. DE EDUC. MEDIA Nº 02 AGUSTIN TOSCO DE 16,200766.0,202275.0,00,Estatal,Nivel secundario común,Escuelas de Educación Media,Dirección de Educación Media,Zamudio 4386,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (17136.43722679473 74884.97475645965)
1170,Establecimiento educativo DR ANTONIO DELLEPIANE,Establecimiento Educativo,DR ANTONIO DELLEPIANE,200768.0,201570.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Baigorria 3169,Villa Del Parque,11,Mapa Escolar - Ministerio de Educación,POINT (17348.118589623784 72767.6776477683)
1171,Establecimiento educativo JIN A ALICIA MOREAU DE JUSTO DE 17 (N°1),Establecimiento Educativo,JIN A ALICIA MOREAU DE JUSTO DE 17 (N°1),200768.0,201592.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Baigorria 3169,Villa Del Parque,11,Mapa Escolar - Ministerio de Educación,POINT (17348.118589623784 72767.6776477683)
1172,Establecimiento educativo ESCUELA DE MUSICA N°3 DE 17,Establecimiento Educativo,ESCUELA DE MUSICA N°3 DE 17,200768.0,201949.0,00,Estatal,Servicios complementarios/alternativos,Escuelas de Música - Primarias-,Dirección de Educación Primaria,Baigorria 3169,Villa Del Parque,11,Mapa Escolar - Ministerio de Educación,POINT (17348.118589623784 72767.6776477683)
1173,Establecimiento educativo JUAN J MILLAN,Establecimiento Educativo,JUAN J MILLAN,200769.0,200970.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Helguera 3228,Villa Del Parque,11,Mapa Escolar - Ministerio de Educación,POINT (17104.236754166748 73285.52617335707)
